time_s,mdot_kg_s
0.000,0.000000
60.000,0.000000
120.000,0.000000
180.000,0.000000
240.000,0.000000
300.000,0.000000
360.000,0.000000
420.000,0.000000
480.000,0.000000
540.000,0.000000
600.000,0.000000
660.000,0.000000
720.000,0.000000
780.000,0.000000
840.000,0.000000
900.000,0.000000
960.000,0.000000
1020.000,0.000000
1080.000,0.000000
1140.000,0.000000
1200.000,0.000000
1260.000,0.000000
1320.000,0.000000
1380.000,0.000000
1440.000,0.000000
1500.000,0.000000
1560.000,0.000000
1620.000,0.000000
1680.000,0.000000
1740.000,0.000000
1800.000,0.000000
1860.000,0.000000
1920.000,0.000000
1980.000,0.000000
2040.000,0.000000
2100.000,0.000000
2160.000,0.000000
2220.000,0.000000
2280.000,0.000000
2340.000,0.000000
2400.000,0.000000
2460.000,0.000000
2520.000,0.000000
2580.000,0.000000
2640.000,0.000000
2700.000,0.000000
2760.000,0.000000
2820.000,0.000000
2880.000,0.000000
2940.000,0.000000
3000.000,0.000000
3060.000,0.000000
3120.000,0.000000
3180.000,0.000000
3240.000,0.000000
3300.000,0.000000
3360.000,0.000000
3420.000,0.000000
3480.000,0.000000
3540.000,0.000000
3600.000,0.000000
3660.000,0.000000
3720.000,0.000000
3780.000,0.000000
3840.000,0.000000
3900.000,0.000000
3960.000,0.000000
4020.000,0.000000
4080.000,0.000000
4140.000,0.000000
4200.000,0.000000
4260.000,0.000000
4320.000,0.000000
4380.000,0.000000
4440.000,0.000000
4500.000,0.000000
4560.000,0.000000
4620.000,0.000000
4680.000,0.000000
4740.000,0.000000
4800.000,0.000000
4860.000,0.000000
4920.000,0.000000
4980.000,0.000000
5040.000,0.000000
5100.000,0.000000
5160.000,0.000000
5220.000,0.000000
5280.000,0.000000
5340.000,0.000000
5400.000,0.000000
5460.000,0.000000
5520.000,0.000000
5580.000,0.000000
5640.000,0.000000
5700.000,0.000000
5760.000,0.000000
5820.000,0.000000
5880.000,0.000000
5940.000,0.000000
6000.000,0.000000
6060.000,0.000000
6120.000,0.000000
6180.000,0.000000
6240.000,0.000000
6300.000,0.000000
6360.000,0.000000
6420.000,0.000000
6480.000,0.000000
6540.000,0.000000
6600.000,0.000000
6660.000,0.000000
6720.000,0.000000
6780.000,0.000000
6840.000,0.000000
6900.000,0.000000
6960.000,0.000000
7020.000,0.000000
7080.000,0.000000
7140.000,0.000000
7200.000,0.000000
7260.000,0.000000
7320.000,0.000000
7380.000,0.000000
7440.000,0.000000
7500.000,0.000000
7560.000,0.000000
7620.000,0.000000
7680.000,0.000000
7740.000,0.000000
7800.000,0.000000
7860.000,0.000000
7920.000,0.000000
7980.000,0.000000
8040.000,0.000000
8100.000,0.000000
8160.000,0.000000
8220.000,0.000000
8280.000,0.000000
8340.000,0.000000
8400.000,0.000000
8460.000,0.000000
8520.000,0.000000
8580.000,0.000000
8640.000,0.000000
8700.000,0.000000
8760.000,0.000000
8820.000,0.000000
8880.000,0.000000
8940.000,0.000000
9000.000,0.000000
9060.000,0.000000
9120.000,0.000000
9180.000,0.000000
9240.000,0.000000
9300.000,0.000000
9360.000,0.000000
9420.000,0.000000
9480.000,0.000000
9540.000,0.000000
9600.000,0.000000
9660.000,0.000000
9720.000,0.000000
9780.000,0.000000
9840.000,0.000000
9900.000,0.000000
9960.000,0.000000
10020.000,0.000000
10080.000,0.000000
10140.000,0.000000
10200.000,0.000000
10260.000,0.000000
10320.000,0.000000
10380.000,0.000000
10440.000,0.000000
10500.000,0.000000
10560.000,0.000000
10620.000,0.000000
10680.000,0.000000
10740.000,0.000000
10800.000,0.000000
10860.000,0.000000
10920.000,0.000000
10980.000,0.000000
11040.000,0.000000
11100.000,0.000000
11160.000,0.000000
11220.000,0.000000
11280.000,0.000000
11340.000,0.000000
11400.000,0.000000
11460.000,0.000000
11520.000,0.000000
11580.000,0.000000
11640.000,0.000000
11700.000,0.000000
11760.000,0.000000
11820.000,0.000000
11880.000,0.000000
11940.000,0.000000
12000.000,0.000000
12060.000,0.000000
12120.000,0.000000
12180.000,0.000000
12240.000,0.000000
12300.000,0.000000
12360.000,0.000000
12420.000,0.000000
12480.000,0.000000
12540.000,0.000000
12600.000,0.000000
12660.000,0.000000
12720.000,0.000000
12780.000,0.000000
12840.000,0.000000
12900.000,0.000000
12960.000,0.000000
13020.000,0.000000
13080.000,0.000000
13140.000,0.000000
13200.000,0.000000
13260.000,0.000000
13320.000,0.000000
13380.000,0.000000
13440.000,0.000000
13500.000,0.000000
13560.000,0.000000
13620.000,0.000000
13680.000,0.000000
13740.000,0.000000
13800.000,0.000000
13860.000,0.000000
13920.000,0.000000
13980.000,0.000000
14040.000,0.000000
14100.000,0.000000
14160.000,0.000000
14220.000,0.000000
14280.000,0.000000
14340.000,0.000000
14400.000,0.000000
14460.000,0.000000
14520.000,0.000000
14580.000,0.000000
14640.000,0.000000
14700.000,0.000000
14760.000,0.000000
14820.000,0.000000
14880.000,0.000000
14940.000,0.000000
15000.000,0.000000
15060.000,0.000000
15120.000,0.000000
15180.000,0.000000
15240.000,0.000000
15300.000,0.000000
15360.000,0.000000
15420.000,0.000000
15480.000,0.000000
15540.000,0.000000
15600.000,0.000000
15660.000,0.000000
15720.000,0.000000
15780.000,0.000000
15840.000,0.000000
15900.000,0.000000
15960.000,0.000000
16020.000,0.000000
16080.000,0.000000
16140.000,0.000000
16200.000,0.000000
16260.000,0.000000
16320.000,0.000000
16380.000,0.000000
16440.000,0.000000
16500.000,0.000000
16560.000,0.000000
16620.000,0.000000
16680.000,0.000000
16740.000,0.000000
16800.000,0.000000
16860.000,0.000000
16920.000,0.000000
16980.000,0.000000
17040.000,0.000000
17100.000,0.000000
17160.000,0.000000
17220.000,0.000000
17280.000,0.000000
17340.000,0.000000
17400.000,0.000000
17460.000,0.000000
17520.000,0.000000
17580.000,0.000000
17640.000,0.000000
17700.000,0.000000
17760.000,0.000000
17820.000,0.000000
17880.000,0.000000
17940.000,0.000000
18000.000,0.000000
18060.000,0.000000
18120.000,0.000000
18180.000,0.000000
18240.000,0.000000
18300.000,0.000000
18360.000,0.000000
18420.000,0.000000
18480.000,0.000000
18540.000,0.000000
18600.000,0.000000
18660.000,0.000000
18720.000,0.000000
18780.000,0.000000
18840.000,0.000000
18900.000,0.000000
18960.000,0.000000
19020.000,0.000000
19080.000,0.000000
19140.000,0.000000
19200.000,0.000000
19260.000,0.000000
19320.000,0.000000
19380.000,0.000000
19440.000,0.000000
19500.000,0.000000
19560.000,0.000000
19620.000,0.000000
19680.000,0.000000
19740.000,0.000000
19800.000,0.000000
19860.000,0.000000
19920.000,0.000000
19980.000,0.000000
20040.000,0.000000
20100.000,0.000000
20160.000,0.000000
20220.000,0.000000
20280.000,0.000000
20340.000,0.000000
20400.000,0.000000
20460.000,0.000000
20520.000,0.000000
20580.000,0.000000
20640.000,0.000000
20700.000,0.000000
20760.000,0.000000
20820.000,0.000000
20880.000,0.000000
20940.000,0.000000
21000.000,0.000000
21060.000,0.000000
21120.000,0.000000
21180.000,0.000000
21240.000,0.000000
21300.000,0.000000
21360.000,0.000000
21420.000,0.000000
21480.000,0.000000
21540.000,0.000000
21600.000,0.000000
21660.000,0.000000
21720.000,0.000000
21780.000,0.000000
21840.000,0.000000
21900.000,0.000000
21960.000,0.000000
22020.000,0.000000
22080.000,0.000000
22140.000,0.000000
22200.000,0.000000
22260.000,0.000000
22320.000,0.000000
22380.000,0.000000
22440.000,0.000000
22500.000,0.000000
22560.000,0.000000
22620.000,0.000000
22680.000,0.000000
22740.000,0.000000
22800.000,0.000000
22860.000,0.000000
22920.000,0.000000
22980.000,0.000000
23040.000,0.000000
23100.000,0.000000
23160.000,0.000000
23220.000,0.000000
23280.000,0.000000
23340.000,0.000000
23400.000,0.000000
23460.000,0.000000
23520.000,0.000000
23580.000,0.000000
23640.000,0.000000
23700.000,0.000000
23760.000,0.000000
23820.000,0.000000
23880.000,0.000000
23940.000,0.000000
24000.000,0.000000
24060.000,0.000000
24120.000,0.000000
24180.000,0.000000
24240.000,0.000000
24300.000,0.000000
24360.000,0.000000
24420.000,0.000000
24480.000,0.000000
24540.000,0.000000
24600.000,0.000000
24660.000,0.000000
24720.000,0.000000
24780.000,0.000000
24840.000,0.000000
24900.000,0.000000
24960.000,0.000000
25020.000,0.000000
25080.000,0.000000
25140.000,0.000000
25200.000,0.150000
25260.000,0.150000
25320.000,0.150000
25380.000,0.150000
25440.000,0.150000
25500.000,0.150000
25560.000,0.150000
25620.000,0.150000
25680.000,0.150000
